EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_CENSUS_METROPOLITAN_AREA	FR_RÉGION_MÉTROPOLITAINE_DE_RECENSEMENT	TOTAL
2025	Q4	Oct	2025	T4	oct.	British Columbia	Colombie-Britannique	Terrace	Terrace	5
2021	Q1	Jan	2021	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	Charlottetown	Charlottetown	50
2018	Q3	Sep	2018	T3	sept.	Quebec	Québec	Montréal	Montréal	575
2024	Q1	Mar	2024	T1	mars	Quebec	Québec	Joliette	Joliette	5
2016	Q1	Mar	2016	T1	mars	British Columbia	Colombie-Britannique	Cranbrook	Cranbrook	--
2021	Q1	Feb	2021	T1	fév.	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	10
2020	Q1	Feb	2020	T1	fév.	Ontario	Ontario	London	Londres	60
2024	Q4	Nov	2024	T4	nov.	Ontario	Ontario	North Bay	North Bay	45
2017	Q3	Aug	2017	T3	août	Ontario	Ontario	Toronto	Toronto	3050
2020	Q4	Oct	2020	T4	oct.	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	505
2020	Q4	Dec	2020	T4	déc.	Saskatchewan	Saskatchewan	Yorkton	Yorkton	10
2015	Q4	Oct	2015	T4	oct.	New Brunswick	Nouveau-Brunswick	Saint John	Saint John	10
2020	Q3	Sep	2020	T3	sept.	British Columbia	Colombie-Britannique	Other - British Columbia	Autres - Colombie-Britannique	25
2023	Q1	Jan	2023	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	Summerside	Summerside	15
2022	Q2	Jun	2022	T2	juin	Manitoba	Manitoba	Brandon	Brandon	--
2023	Q2	May	2023	T2	mai	New Brunswick	Nouveau-Brunswick	Miramichi	Miramichi	10
2019	Q4	Dec	2019	T4	déc.	British Columbia	Colombie-Britannique	Kelowna	Kelowna	35
2024	Q4	Oct	2024	T4	oct.	Quebec	Québec	Saguenay	Saguenay	10
2017	Q2	May	2017	T2	mai	Ontario	Ontario	St. Catharines - Niagara	St. Catharines - Niagara	50
2022	Q2	May	2022	T2	mai	Manitoba	Manitoba	Winnipeg	Winnipeg	130
2023	Q1	Feb	2023	T1	fév.	British Columbia	Colombie-Britannique	Kamloops	Kamloops	35
2023	Q1	Mar	2023	T1	mars	Ontario	Ontario	Midland	Midland	5
2022	Q2	Jun	2022	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	10
2022	Q4	Dec	2022	T4	déc.	Alberta	Alberta	Medicine Hat	Medicine Hat	5
2016	Q4	Nov	2016	T4	nov.	British Columbia	Colombie-Britannique	Nanaimo	Nanaimo	10
2023	Q2	Jun	2023	T2	juin	Quebec	Québec	Montréal	Montréal	1025
2021	Q1	Feb	2021	T1	fév.	British Columbia	Colombie-Britannique	Victoria	Victoria	105
2020	Q3	Jul	2020	T3	juil.	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	--
2015	Q2	May	2015	T2	mai	Ontario	Ontario	St. Catharines - Niagara	St. Catharines - Niagara	10
2018	Q2	Jun	2018	T2	juin	Ontario	Ontario	Greater Sudbury	Grand Sudbury	10
2017	Q4	Dec	2017	T4	déc.	Quebec	Québec	Montréal	Montréal	350
2025	Q1	Jan	2025	T1	janv.	British Columbia	Colombie-Britannique	Kelowna	Kelowna	50
2025	Q1	Jan	2025	T1	janv.	Ontario	Ontario	Hamilton	Hamilton	360
2018	Q4	Nov	2018	T4	nov.	Ontario	Ontario	Barrie	Barrie	95
2015	Q4	Oct	2015	T4	oct.	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	10
2023	Q1	Mar	2023	T1	mars	Ontario	Ontario	London	Londres	430
2025	Q3	Aug	2025	T3	août	Saskatchewan	Saskatchewan	Moose Jaw	Moose Jaw	25
2015	Q4	Dec	2015	T4	déc.	Quebec	Québec	Other - Quebec	Autres - Québec	50
2022	Q4	Nov	2022	T4	nov.	Alberta	Alberta	Red Deer	Red Deer	10
2017	Q3	Jul	2017	T3	juil.	British Columbia	Colombie-Britannique	Salmon Arm	Salmon Arm	--
2019	Q1	Mar	2019	T1	mars	Quebec	Québec	Saguenay	Saguenay	10
2022	Q4	Dec	2022	T4	déc.	Manitoba	Manitoba	Thompson	Thompson	--
2017	Q2	Jun	2017	T2	juin	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	10
2023	Q3	Jul	2023	T3	juil.	New Brunswick	Nouveau-Brunswick	Edmundston	Edmundston	10
2020	Q3	Jul	2020	T3	juil.	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	5
2018	Q2	Jun	2018	T2	juin	Ontario	Ontario	Kenora	Kenora	--
2017	Q4	Oct	2017	T4	oct.	British Columbia	Colombie-Britannique	Vernon	Vernon	--
2022	Q4	Dec	2022	T4	déc.	New Brunswick	Nouveau-Brunswick	Other - New Brunswick	Autres - Nouveau-Brunswick	10
2023	Q3	Jul	2023	T3	juil.	British Columbia	Colombie-Britannique	Squamish	Squamish	5
2019	Q4	Dec	2019	T4	déc.	Quebec	Québec	Baie-Comeau	Baie-Comeau	--
2021	Q1	Feb	2021	T1	fév.	British Columbia	Colombie-Britannique	Squamish	Squamish	10
2015	Q4	Dec	2015	T4	déc.	Alberta	Alberta	Wood Buffalo	Wood Buffalo	--
2025	Q3	Jul	2025	T3	juil.	Saskatchewan	Saskatchewan	Lloydminster (Saskatchewan part)	Lloydminster (partie de la Saskatchewan)	--
2022	Q2	Apr	2022	T2	avr.	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	5
2016	Q3	Aug	2016	T3	août	Quebec	Québec	Sept-Îles	Sept-Îles	--
2022	Q1	Feb	2022	T1	fév.	Ontario	Ontario	Norfolk	Norfolk	--
2022	Q1	Jan	2022	T1	janv.	British Columbia	Colombie-Britannique	Vernon	Vernon	--
2019	Q3	Sep	2019	T3	sept.	Alberta	Alberta	Lethbridge	Lethbridge	5
2017	Q3	Sep	2017	T3	sept.	Saskatchewan	Saskatchewan	Weyburn	Weyburn	--
2021	Q4	Oct	2021	T4	oct.	British Columbia	Colombie-Britannique	Nelson	Nelson	--
2021	Q2	Jun	2021	T2	juin	Manitoba	Manitoba	Steinbach	Steinbach	--
2016	Q1	Jan	2016	T1	janv.	Ontario	Ontario	Oshawa	Oshawa	5
2023	Q4	Dec	2023	T4	déc.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Gander	Gander	--
2017	Q1	Jan	2017	T1	janv.	British Columbia	Colombie-Britannique	Dawson Creek	Dawson Creek	--
2017	Q4	Nov	2017	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Summerside	Summerside	--
2023	Q4	Nov	2023	T4	nov.	Quebec	Québec	Shawinigan	Shawinigan	--
2022	Q1	Feb	2022	T1	fév.	British Columbia	Colombie-Britannique	Trail	Trail	--
2022	Q2	Apr	2022	T2	avr.	New Brunswick	Nouveau-Brunswick	Campbellton (New Brunswick part)	Campbellton (partie du Nouveau-Brunswick)	--
2023	Q4	Oct	2023	T4	oct.	Nova Scotia	Nouvelle-Écosse	New Glasgow	New Glasgow	--
2025	Q2	Jun	2025	T2	juin	Quebec	Québec	Rimouski	Rimouski	5
2018	Q3	Jul	2018	T3	juil.	Saskatchewan	Saskatchewan	Swift Current	Swift Current	--
2020	Q4	Dec	2020	T4	déc.	Ontario	Ontario	Kenora	Kenora	--
2021	Q4	Nov	2021	T4	nov.	Quebec	Québec	Granby	Granby	--
2025	Q1	Jan	2025	T1	janv.	Quebec	Québec	Baie-Comeau	Baie-Comeau	--
2025	Q4	Nov	2025	T4	nov.	Prince Edward Island	Île-du-Prince-Édouard	Other - Prince Edward Island	Autres - Île-du-Prince-Édouard	5
2016	Q2	Apr	2016	T2	avr.	Alberta	Alberta	Brooks	Brooks	--
2016	Q4	Dec	2016	T4	déc.	Quebec	Québec	Alma	Alma	--
2016	Q1	Mar	2016	T1	mars	Nova Scotia	Nouvelle-Écosse	Truro	Truro	5
2019	Q1	Feb	2019	T1	fév.	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	--
2015	Q2	Jun	2015	T2	juin	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	--
2024	Q4	Oct	2024	T4	oct.	British Columbia	Colombie-Britannique	Penticton	Penticton	--
2015	Q3	Sep	2015	T3	sept.	Quebec	Québec	Sept-Îles	Sept-Îles	--
2025	Q4	Dec	2025	T4	déc.	Prince Edward Island	Île-du-Prince-Édouard	Other - Prince Edward Island	Autres - Île-du-Prince-Édouard	--
2020	Q2	Apr	2020	T2	avr.	Alberta	Alberta	Camrose	Camrose	--
2020	Q2	May	2020	T2	mai	Quebec	Québec	Granby	Granby	--
2015	Q1	Jan	2015	T1	janv.	Ontario	Ontario	Kingston	Kingston	--
2025	Q2	Apr	2025	T2	avr.	Ontario	Ontario	Owen Sound	Owen Sound	--
2016	Q4	Nov	2016	T4	nov.	British Columbia	Colombie-Britannique	Parksville	Parksville	--
2019	Q1	Jan	2019	T1	janv.	Quebec	Québec	Salaberry-de-Valleyfield	Salaberry-de-Valleyfield	--
2025	Q1	Feb	2025	T1	fév.	Quebec	Québec	Drummondville	Drummondville	--
2015	Q1	Jan	2015	T1	janv.	Ontario	Ontario	Thunder Bay	Thunder Bay	--
2021	Q3	Jul	2021	T3	juil.	Quebec	Québec	Drummondville	Drummondville	--
2022	Q1	Jan	2022	T1	janv.	Saskatchewan	Saskatchewan	North Battleford	North Battleford	--
2023	Q1	Mar	2023	T1	mars	British Columbia	Colombie-Britannique	Williams Lake	Williams Lake	--
2022	Q4	Nov	2022	T4	nov.	Quebec	Québec	Sainte-Agathe-des-Monts	Sainte-Agathe-des-Monts	--
2018	Q3	Sep	2018	T3	sept.	Quebec	Québec	Thetford Mines	Thetford Mines	--
2015	Q3	Aug	2015	T3	août	Saskatchewan	Saskatchewan	Yorkton	Yorkton	--
2023	Q3	Aug	2023	T3	août	British Columbia	Colombie-Britannique	Quesnel	Quesnel	--
2017	Q2	Jun	2017	T2	juin	British Columbia	Colombie-Britannique	Prince Rupert	Prince Rupert	--
2018	Q3	Jul	2018	T3	juil.	British Columbia	Colombie-Britannique	Chilliwack	Chilliwack	--
2022	Q3	Sep	2022	T3	sept.	British Columbia	Colombie-Britannique	Campbell River	Campbell River	--
2018	Q4	Dec	2018	T4	déc.	Nova Scotia	Nouvelle-Écosse	Kentville	Kentville	--
2019	Q2	Jun	2019	T2	juin	Quebec	Québec	Rimouski	Rimouski	--
2025	Q2	Apr	2025	T2	avr.	Ontario	Ontario	Midland	Midland	--
2024	Q4	Oct	2024	T4	oct.	Yukon	Yukon	Territories (outside Census agglomeration, Yukon)	Territoires (à l'extérieur des agglomérations de recensement, Yukon)	--
2024	Q2	Apr	2024	T2	avr.	Ontario	Ontario	Owen Sound	Owen Sound	--
2016	Q1	Feb	2016	T1	fév.	British Columbia	Colombie-Britannique	Campbell River	Campbell River	--
2025	Q1	Jan	2025	T1	janv.	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	50
2023	Q4	Dec	2023	T4	déc.	Alberta	Alberta	Calgary	Calgary	230
2022	Q2	May	2022	T2	mai	Ontario	Ontario	Toronto	Toronto	1565
2020	Q1	Jan	2020	T1	janv.	Saskatchewan	Saskatchewan	Saskatoon	Saskatoon	40
2019	Q3	Sep	2019	T3	sept.	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	20
2021	Q1	Jan	2021	T1	janv.	Nova Scotia	Nouvelle-Écosse	Kentville	Kentville	--
2025	Q2	May	2025	T2	mai	Alberta	Alberta	Wood Buffalo	Wood Buffalo	--
2017	Q3	Sep	2017	T3	sept.	Ontario	Ontario	Petawawa	Petawawa	--
2025	Q4	Dec	2025	T4	déc.	Nova Scotia	Nouvelle-Écosse	Cape Breton	Cape Breton	120
2023	Q1	Feb	2023	T1	fév.	British Columbia	Colombie-Britannique	Victoria	Victoria	100
2016	Q4	Nov	2016	T4	nov.	Saskatchewan	Saskatchewan	Regina	Regina	65
2025	Q4	Oct	2025	T4	oct.	Ontario	Ontario	Windsor	Windsor	125
2016	Q1	Jan	2016	T1	janv.	Quebec	Québec	Saint-Georges	Saint-Georges	--
2025	Q3	Aug	2025	T3	août	British Columbia	Colombie-Britannique	Penticton	Penticton	5
2021	Q4	Oct	2021	T4	oct.	Ontario	Ontario	Greater Sudbury	Grand Sudbury	45
2016	Q2	Apr	2016	T2	avr.	Yukon	Yukon	Other - Yukon	Autres - Yukon	--
2023	Q1	Mar	2023	T1	mars	British Columbia	Colombie-Britannique	Nanaimo	Nanaimo	20
2019	Q2	Apr	2019	T2	avr.	Ontario	Ontario	Windsor	Windsor	55
2017	Q4	Oct	2017	T4	oct.	British Columbia	Colombie-Britannique	Nanaimo	Nanaimo	30
2020	Q4	Dec	2020	T4	déc.	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	25
2020	Q2	May	2020	T2	mai	Manitoba	Manitoba	Brandon	Brandon	15
2016	Q3	Aug	2016	T3	août	Ontario	Ontario	Chatham-Kent	Chatham-Kent	--
2024	Q4	Oct	2024	T4	oct.	Ontario	Ontario	Kawartha Lakes	Kawartha Lakes	20
2021	Q3	Sep	2021	T3	sept.	Quebec	Québec	Val-d'Or	Val-d'Or	--
2022	Q3	Aug	2022	T3	août	Nova Scotia	Nouvelle-Écosse	Halifax	Halifax	265
2025	Q4	Nov	2025	T4	nov.	Ontario	Ontario	Brantford	Brantford	90
2022	Q1	Jan	2022	T1	janv.	British Columbia	Colombie-Britannique	Victoria	Victoria	75
2025	Q1	Jan	2025	T1	janv.	Ontario	Ontario	Toronto	Toronto	7845
2019	Q4	Oct	2019	T4	oct.	New Brunswick	Nouveau-Brunswick	Miramichi	Miramichi	--
2025	Q4	Nov	2025	T4	nov.	Ontario	Ontario	Guelph	Guelph	70
2015	Q4	Nov	2015	T4	nov.	Alberta	Alberta	Other - Alberta	Autres - Alberta	45
2016	Q3	Aug	2016	T3	août	British Columbia	Colombie-Britannique	Trail	Trail	--
2025	Q3	Jul	2025	T3	juil.	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Corner Brook	Corner Brook	--
2023	Q2	Apr	2023	T2	avr.	British Columbia	Colombie-Britannique	Other - British Columbia	Autres - Colombie-Britannique	170
2024	Q3	Aug	2024	T3	août	British Columbia	Colombie-Britannique	Terrace	Terrace	10
2016	Q3	Jul	2016	T3	juil.	New Brunswick	Nouveau-Brunswick	Bathurst	Bathurst	--
2020	Q1	Feb	2020	T1	fév.	Ontario	Ontario	Ottawa - Gatineau (Ontario part)	Ottawa - Gatineau (partie de l'Ontario)	120
2017	Q4	Dec	2017	T4	déc.	Saskatchewan	Saskatchewan	Saskatoon	Saskatoon	20
2020	Q3	Jul	2020	T3	juil.	Ontario	Ontario	Collingwood	Collingwood	--
2018	Q3	Sep	2018	T3	sept.	Ontario	Ontario	London	Londres	130
2017	Q3	Jul	2017	T3	juil.	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	20
2017	Q3	Sep	2017	T3	sept.	Ontario	Ontario	Thunder Bay	Thunder Bay	25
2023	Q3	Aug	2023	T3	août	New Brunswick	Nouveau-Brunswick	Miramichi	Miramichi	20
2016	Q3	Jul	2016	T3	juil.	Quebec	Québec	Alma	Alma	--
2024	Q3	Jul	2024	T3	juil.	British Columbia	Colombie-Britannique	Terrace	Terrace	15
2018	Q4	Nov	2018	T4	nov.	Ontario	Ontario	Cobourg	Cobourg	--
2018	Q1	Feb	2018	T1	fév.	Ontario	Ontario	London	Londres	60
2024	Q4	Oct	2024	T4	oct.	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	20
2023	Q4	Oct	2023	T4	oct.	Ontario	Ontario	St. Catharines - Niagara	St. Catharines - Niagara	245
2022	Q4	Dec	2022	T4	déc.	Manitoba	Manitoba	Winnipeg	Winnipeg	385
2021	Q4	Dec	2021	T4	déc.	Quebec	Québec	Sherbrooke	Sherbrooke	25
2016	Q3	Aug	2016	T3	août	Ontario	Ontario	Barrie	Barrie	15
2019	Q4	Nov	2019	T4	nov.	Quebec	Québec	Saguenay	Saguenay	10
2018	Q2	Apr	2018	T2	avr.	Ontario	Ontario	Other - Ontario	Autres - Ontario	40
2017	Q4	Dec	2017	T4	déc.	Nova Scotia	Nouvelle-Écosse	Halifax	Halifax	55
2018	Q1	Feb	2018	T1	fév.	Ontario	Ontario	St. Catharines - Niagara	St. Catharines - Niagara	55
2017	Q1	Mar	2017	T1	mars	British Columbia	Colombie-Britannique	Kamloops	Kamloops	15
2015	Q3	Sep	2015	T3	sept.	Quebec	Québec	Rimouski	Rimouski	5
2023	Q4	Nov	2023	T4	nov.	British Columbia	Colombie-Britannique	Prince Rupert	Prince Rupert	--
2017	Q1	Feb	2017	T1	fév.	Ontario	Ontario	Other - Ontario	Autres - Ontario	25
2023	Q2	Jun	2023	T2	juin	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	25
2018	Q2	Jun	2018	T2	juin	Ontario	Ontario	Kawartha Lakes	Kawartha Lakes	--
2020	Q3	Aug	2020	T3	août	Ontario	Ontario	Kingston	Kingston	10
2023	Q2	Jun	2023	T2	juin	Saskatchewan	Saskatchewan	Weyburn	Weyburn	--
2025	Q3	Sep	2025	T3	sept.	Ontario	Ontario	Essa	Essa	--
2022	Q4	Dec	2022	T4	déc.	Ontario	Ontario	North Bay	North Bay	10
2021	Q1	Jan	2021	T1	janv.	Saskatchewan	Saskatchewan	Other - Saskatchewan	Autres - Saskatchewan	10
2025	Q2	May	2025	T2	mai	Quebec	Québec	Val-d'Or	Val-d'Or	--
2021	Q1	Feb	2021	T1	fév.	British Columbia	Colombie-Britannique	Terrace	Terrace	10
2020	Q3	Aug	2020	T3	août	Alberta	Alberta	Medicine Hat	Medicine Hat	--
2023	Q1	Mar	2023	T1	mars	Saskatchewan	Saskatchewan	Estevan	Estevan	--
2021	Q3	Aug	2021	T3	août	Ontario	Ontario	Chatham-Kent	Chatham-Kent	10
2019	Q1	Mar	2019	T1	mars	Manitoba	Manitoba	Steinbach	Steinbach	--
2024	Q3	Aug	2024	T3	août	Alberta	Alberta	Brooks	Brooks	--
2024	Q4	Oct	2024	T4	oct.	Ontario	Ontario	Port Hope	Port Hope	--
2016	Q1	Jan	2016	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	Yellowknife	Yellowknife	--
2018	Q1	Mar	2018	T1	mars	British Columbia	Colombie-Britannique	Quesnel	Quesnel	--
2024	Q4	Oct	2024	T4	oct.	New Brunswick	Nouveau-Brunswick	Bathurst	Bathurst	10
2023	Q1	Feb	2023	T1	fév.	British Columbia	Colombie-Britannique	Squamish	Squamish	10
2019	Q3	Aug	2019	T3	août	Saskatchewan	Saskatchewan	Moose Jaw	Moose Jaw	--
2020	Q2	Apr	2020	T2	avr.	Ontario	Ontario	Sault Ste. Marie	Sault Ste. Marie	5
2022	Q2	May	2022	T2	mai	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Corner Brook	Corner Brook	--
2016	Q3	Jul	2016	T3	juil.	Yukon	Yukon	Whitehorse	Whitehorse	10
2019	Q4	Oct	2019	T4	oct.	British Columbia	Colombie-Britannique	Salmon Arm	Salmon Arm	--
2017	Q2	May	2017	T2	mai	Newfoundland and Labrador	Terre-Neuve-et-Labrador	Other - Newfoundland and Labrador	Autres - Terre-Neuve-et-Labrador	15
2018	Q4	Nov	2018	T4	nov.	Quebec	Québec	Matane	Matane	--
2023	Q4	Dec	2023	T4	déc.	New Brunswick	Nouveau-Brunswick	Campbellton (New Brunswick part)	Campbellton (partie du Nouveau-Brunswick)	--
2015	Q2	Apr	2015	T2	avr.	Saskatchewan	Saskatchewan	Yorkton	Yorkton	--
2023	Q3	Aug	2023	T3	août	Ontario	Ontario	Kenora	Kenora	--
2024	Q4	Oct	2024	T4	oct.	Alberta	Alberta	Lacombe	Lacombe	--
2019	Q1	Feb	2019	T1	fév.	Quebec	Québec	Drummondville	Drummondville	--
2015	Q1	Feb	2015	T1	fév.	Quebec	Québec	Québec	Québec	--
2020	Q3	Aug	2020	T3	août	Newfoundland and Labrador	Terre-Neuve-et-Labrador	St. John's	St. John's	5
2018	Q4	Dec	2018	T4	déc.	British Columbia	Colombie-Britannique	Campbell River	Campbell River	--
2018	Q2	Jun	2018	T2	juin	Alberta	Alberta	Lacombe	Lacombe	--
2015	Q2	Apr	2015	T2	avr.	Ontario	Ontario	Sarnia	Sarnia	--
2020	Q1	Jan	2020	T1	janv.	Ontario	Ontario	Owen Sound	Owen Sound	--
2020	Q4	Dec	2020	T4	déc.	Ontario	Ontario	Kawartha Lakes	Kawartha Lakes	--
2024	Q1	Feb	2024	T1	fév.	Quebec	Québec	Rimouski	Rimouski	5
2023	Q2	Jun	2023	T2	juin	Ontario	Ontario	Orillia	Orillia	--
2018	Q1	Mar	2018	T1	mars	New Brunswick	Nouveau-Brunswick	Fredericton	Fredericton	5
2015	Q4	Nov	2015	T4	nov.	Saskatchewan	Saskatchewan	Prince Albert	Prince Albert	10
2024	Q1	Jan	2024	T1	janv.	British Columbia	Colombie-Britannique	Fort St. John	Fort St. John	--
2015	Q2	May	2015	T2	mai	Ontario	Ontario	Sarnia	Sarnia	--
2015	Q4	Dec	2015	T4	déc.	Quebec	Québec	Québec	Québec	5
2025	Q1	Jan	2025	T1	janv.	Yukon	Yukon	Whitehorse	Whitehorse	10
2016	Q4	Dec	2016	T4	déc.	Manitoba	Manitoba	Brandon	Brandon	--
2023	Q3	Jul	2023	T3	juil.	British Columbia	Colombie-Britannique	Courtenay	Courtenay	5
2019	Q2	May	2019	T2	mai	Ontario	Ontario	Kenora	Kenora	--
2022	Q3	Sep	2022	T3	sept.	Ontario	Ontario	Chatham-Kent	Chatham-Kent	--
2024	Q4	Oct	2024	T4	oct.	Prince Edward Island	Île-du-Prince-Édouard	Other - Prince Edward Island	Autres - Île-du-Prince-Édouard	--
2024	Q3	Jul	2024	T3	juil.	Manitoba	Manitoba	Winkler	Winkler	--
2019	Q3	Jul	2019	T3	juil.	Alberta	Alberta	Medicine Hat	Medicine Hat	--
2021	Q4	Nov	2021	T4	nov.	Quebec	Québec	Val-d'Or	Val-d'Or	--
2022	Q2	Apr	2022	T2	avr.	Alberta	Alberta	Red Deer	Red Deer	--
2024	Q3	Aug	2024	T3	août	Quebec	Québec	Victoriaville	Victoriaville	--
2023	Q4	Nov	2023	T4	nov.	British Columbia	Colombie-Britannique	Cranbrook	Cranbrook	--
2024	Q4	Oct	2024	T4	oct.	Ontario	Ontario	Stratford	Stratford	--
2015	Q1	Jan	2015	T1	janv.	Northwest Territories	Territoires du Nord-Ouest	Yellowknife	Yellowknife	--
2025	Q4	Oct	2025	T4	oct.	Quebec	Québec	Cowansville	Cowansville	--
2016	Q4	Oct	2016	T4	oct.	British Columbia	Colombie-Britannique	Williams Lake	Williams Lake	--
2025	Q2	May	2025	T2	mai	British Columbia	Colombie-Britannique	Squamish	Squamish	--
2017	Q4	Nov	2017	T4	nov.	Ontario	Ontario	Woodstock	Woodstock	--
2016	Q3	Jul	2016	T3	juil.	Saskatchewan	Saskatchewan	Estevan	Estevan	--
2018	Q3	Jul	2018	T3	juil.	British Columbia	Colombie-Britannique	Duncan	Duncan	--
2024	Q4	Oct	2024	T4	oct.	Quebec	Québec	Matane	Matane	--
2023	Q1	Feb	2023	T1	fév.	New Brunswick	Nouveau-Brunswick	Saint John	Saint John	45
2019	Q4	Nov	2019	T4	nov.	Nova Scotia	Nouvelle-Écosse	Other - Nova Scotia	Autres - Nouvelle-Écosse	10
2015	Q3	Aug	2015	T3	août	Quebec	Québec	Montréal	Montréal	495
2020	Q2	Apr	2020	T2	avr.	Quebec	Québec	Saguenay	Saguenay	10
2019	Q3	Aug	2019	T3	août	Quebec	Québec	Québec	Québec	10
2016	Q2	Jun	2016	T2	juin	Nova Scotia	Nouvelle-Écosse	Cape Breton	Cape Breton	10
2024	Q2	May	2024	T2	mai	Province/Territory not stated	Province/territoire non déclaré(e)	Census metropolitan area not stated	Région métropolitaine de recensement non déclarée	70
2024	Q1	Mar	2024	T1	mars	Quebec	Québec	Québec	Québec	25
2025	Q2	May	2025	T2	mai	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	15
2017	Q4	Oct	2017	T4	oct.	Ontario	Ontario	Belleville - Quinte West	Belleville - Quinte West	--
2024	Q3	Sep	2024	T3	sept.	Alberta	Alberta	Red Deer	Red Deer	20
2025	Q1	Jan	2025	T1	janv.	Quebec	Québec	Saguenay	Saguenay	10
2025	Q1	Feb	2025	T1	fév.	Manitoba	Manitoba	Brandon	Brandon	20
2023	Q1	Jan	2023	T1	janv.	Manitoba	Manitoba	Other - Manitoba	Autres - Manitoba	20
2025	Q3	Aug	2025	T3	août	Alberta	Alberta	Lethbridge	Lethbridge	90
2017	Q1	Mar	2017	T1	mars	British Columbia	Colombie-Britannique	Victoria	Victoria	30
2022	Q2	Apr	2022	T2	avr.	British Columbia	Colombie-Britannique	Nanaimo	Nanaimo	5
2017	Q3	Sep	2017	T3	sept.	Saskatchewan	Saskatchewan	Regina	Regina	55
2021	Q1	Jan	2021	T1	janv.	British Columbia	Colombie-Britannique	Dawson Creek	Dawson Creek	10
2026	Q1	Jan	2026	T1	janv.	Ontario	Ontario	Kitchener - Cambridge - Waterloo	Kitchener - Cambridge - Waterloo	2925
